Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2025-04-15,155.9814910888672,159.3144679755199,154.8838120227522,158.79557178865275,27551500
2025-04-16,153.0077667236328,155.56238424519245,151.1915842885331,152.7782543502781,28187400
2025-04-17,150.84231567382812,154.3549068428226,148.1879024535801,153.96572710201332,33046600
2025-04-21,147.35964965820312,148.63695834662283,145.7929571438361,148.5671133790027,26049100
2025-04-22,151.15167236328125,151.8701604317821,148.22782212376958,148.57709265560683,26971800
2025-04-23,155.0235137939453,157.19892487451833,153.48674181759014,155.28296188170384,31128800
2025-04-24,158.94525146484375,159.25459752387056,155.4625806651454,155.82182468811348,45894000
2025-04-25,161.61961364746094,165.75091195641818,160.70153382171975,164.72307793649614,56034000
2025-04-28,160.27244567871094,162.80710064682614,158.26667558851017,162.0886126566934,29745800
2025-04-29,159.8234100341797,160.4021929284458,157.1889588897359,159.98307743122987,26809000
2025-04-30,158.4662628173828,158.93527626532435,155.07339925298186,157.6479788523033,34981100
2025-05-01,160.9610137939453,161.60964165853642,158.5760372443709,160.11279406942978,30203200
2025-05-02,163.68527221679688,164.62329914267073,161.5298080330937,163.0665800855699,25715000
2025-05-05,163.86488342285156,165.04239608560687,162.3780095025418,162.6574198030844,21341800
2025-05-06,162.88694763183594,164.45365539079762,160.8512416447926,161.82917778967573,21277200
2025-05-07,151.06185913085938,164.6532299684301,147.52929039730043,163.73516530126716,127490100
2025-05-08,153.95574951171875,155.60227562678833,152.57864497617126,154.6742375105505,57498700
2025-05-09,152.42898559570312,154.7241550362692,151.880138412371,153.84599954293776,32435300
2025-05-12,158.12698364257812,158.7656379952877,155.92162152792991,157.15902099799507,44138800
2025-05-13,159.19473266601562,160.23255554287942,155.83181988552568,158.45628235850566,42382100
2025-05-14,165.02244567871094,166.64902486582008,159.27455664998826,159.6238271640479,48755900
2025-05-15,163.61541748046875,165.8606887311189,162.02874755770196,165.49145599350894,33146700
2025-05-16,165.84072875976562,168.99409119137468,165.27191939302787,167.3774855147182,42846900
2025-05-19,166.1899871826172,166.2897831099107,163.87487089127026,164.16425471766837,30426100
2025-05-20,163.63536071777344,168.1458653454169,162.55762871505934,166.08020853353494,46607700
2025-05-21,168.20574951171875,172.77612594690945,163.21625758160502,163.34598924433868,73416000
2025-05-22,170.51087951660156,176.3984886871392,170.3512273591593,171.48883082455436,74864400
2025-05-23,168.11593627929688,169.60281030274047,167.5371534089642,168.70469265151235,35211400
2025-05-27,172.53662109375,172.80605791558804,169.6427219280191,169.80238932071725,37995700
2025-05-28,171.9977569580078,174.90164475593082,171.5487057543554,172.79607866823434,34784000
2025-05-29,171.49880981445312,174.0534271359213,170.27139911620654,173.63431165912297,29317300
2025-05-30,171.37905883789062,171.84807225515158,167.08809311971586,170.98987911151661,52639900
2025-06-02,168.6747589111328,169.5129898808019,167.03820620651766,167.4872574240746,38612300
2025-06-03,165.8307342529297,168.12590341689224,164.93263186241904,167.1379938326745,45084900
2025-06-04,167.6968231201172,167.86646401479533,166.01037244863588,166.38957869951685,26900800
2025-06-05,167.8564910888672,170.57076063975376,167.23778374687686,169.98200425737,36379100
2025-06-06,173.3149871826172,174.13327118123485,170.47098587242346,170.47098587242346,35731800
2025-06-09,175.93264770507812,176.31231302715454,174.21418342483807,174.38402968862113,28935900
2025-06-10,178.44041442871094,180.94816607880887,174.7537092641778,176.04254985052344,61766100
2025-06-11,177.1915283203125,180.20881870896204,176.59205837486806,179.60936400867158,31646800
2025-06-12,175.54299926757812,176.56209210971562,174.59385119423692,176.02256609234394,20941900
2025-06-13,174.513916015625,176.9717245091389,172.2359546046385,172.28591297451578,27663100
2025-06-16,176.61204528808594,176.78189154925582,174.49392932110277,174.57385966373928,27389200
2025-06-17,175.7927703857422,177.20151408744945,174.4239994778565,175.5429937823964,24973000
2025-06-18,173.16513061523438,176.4022256326498,173.04522747911062,175.85271405711507,28707500
2025-06-20,166.4910888671875,174.18420505107113,165.312150640077,173.79455416726213,75659900
2025-06-23,165.04238891601562,167.19046158134836,161.85523705575486,166.1214256591391,57671000
2025-06-24,166.62098693847656,168.06968824197463,165.98155942026995,166.77084680791774,40524300
2025-06-25,170.52748107910156,172.2059878377665,167.40028826627824,167.48021861146748,35479000
2025-06-26,173.38491821289062,173.53479332021178,169.78814431449064,172.275909497391,31796700
2025-06-27,178.37046813964844,178.52032800475203,171.57654142712704,173.3849216100962,108140200
2025-06-30,176.07252502441406,181.0680572633364,174.4240054836315,180.6184624108643,63378900
2025-07-01,175.682861328125,175.9326379218849,173.37492804100808,175.5829598377131,35904500
2025-07-02,178.48036193847656,178.70016656024188,174.91356011283625,175.38312608280393,29128900
2025-07-03,179.36956787109375,179.50944215502514,176.89178830781478,178.34048951535135,21689700
2025-07-07,176.63201904296875,179.13978593904164,175.52301029591823,178.89999490759814,34175600
2025-07-08,174.20419311523438,177.7909814447806,172.6555751408571,177.691079951528,40442500
2025-07-09,176.46217346191406,179.27966092294577,172.61562283881983,175.09340252603724,43025600
2025-07-10,177.46127319335938,178.27054693495992,174.22417822695712,175.47306122205768,29252400
2025-07-11,180.02899169921875,181.26787392679407,176.32230010231936,176.6320206592132,34282900
2025-07-14,181.3977508544922,183.5058659137902,179.5194259926096,180.84823929966979,32536600
2025-07-15,181.83737182617188,184.05538933948807,181.4377353487915,182.6466456022175,33448300
2025-07-16,182.80650329589844,184.1652886399438,181.86734081977315,183.07626629854497,33104200
2025-07-17,183.41595458984375,183.89552139280437,180.31871865434178,181.9772389358081,31992600
2025-07-18,184.89462280273438,186.25340807875182,183.54583834733725,185.2343153104504,34014500
2025-07-21,189.9301300048828,190.11994741222205,185.98364758555138,186.08356432217508,45803100
2025-07-22,191.1690216064453,191.47874216205827,187.29249900550474,191.328882294876,44660200
2025-07-23,190.0600128173828,192.35796066638142,189.01094801184496,191.32888225818212,58681900
2025-07-24,191.99827575683594,197.7731095502254,190.8293230940032,196.85393348830104,74881700
2025-07-25,193.0073699951172,194.1563515198352,191.08908750710862,191.80844534575607,39785900
2025-07-28,192.4079132080078,193.87660084223495,190.6694625759226,193.47694913334269,38139500
2025-07-29,195.5750732421875,195.7449194968108,191.90835466905762,192.2580327538162,41389200
2025-07-30,196.35438537597656,197.42343657324804,194.51603320447785,195.42522371418744,32445400
2025-07-31,191.728515625,195.8148724632573,190.91924186518514,195.53512388567077,51329200
2025-08-01,188.96099853515625,190.65947636814528,187.65217158882444,188.86108179697592,34832200
2025-08-04,194.86570739746094,195.0955128481526,189.95010569222902,190.11995195242244,31547400
2025-08-05,194.4960479736328,197.68319994217242,193.71674617353807,194.5360207683401,31602300
2025-08-06,195.91476440429688,196.45429038129967,193.49692881868756,194.32618893507828,21562900
2025-08-07,196.34439086914062,197.36346840439734,194.15634544876863,196.88390160867925,26321800
2025-08-08,201.24000549316406,202.42894452614235,196.99380337261508,197.04376174071106,39161800
2025-08-11,200.8203887939453,201.29995560301907,198.8921207366326,200.76044484845534,25832400
2025-08-12,203.15829467773438,204.31726177746063,200.41075203769518,201.19005382143942,30397900
2025-08-13,201.779541015625,204.3472366094903,197.33350521250262,203.94760013613634,28342900
2025-08-14,202.75865173339844,204.2573113073674,201.05017311120625,201.31993610316366,25230400
2025-08-15,203.71778869628906,206.25552748751167,201.10013480886678,203.66784557245273,34931400
2025-08-18,203.3181610107422,205.08658368227987,202.30906899226142,204.01753247133055,18526600
2025-08-19,201.389892578125,203.2582167438639,199.7813305987235,202.84857944432244,24240200
2025-08-20,199.1418914794922,201.10013145192505,196.4243208994537,200.55061989251405,28955500
2025-08-21,199.57150268554688,202.29905887913935,199.25178132101763,199.57150268554688,19774600
2025-08-22,205.9058380126953,208.353645687597,201.12012497867053,202.54883983863883,42827000
2025-08-25,208.30369567871094,210.3318804204715,205.0965574752735,206.2455237198617,29928900
2025-08-26,206.95489501953125,207.66426725745978,205.5161793925774,207.32455950181813,28464100
2025-08-27,207.29458618164062,208.72331622375268,205.46621968804243,205.51617805576655,23022900
2025-08-28,211.4508819580078,212.0303655105851,206.71511204255788,207.0648053873533,32339300
2025-08-29,212.71974182128906,214.45817715575657,210.01215683893824,210.3218773757616,39728400
2025-09-02,211.16114807128906,211.4908397743193,206.01574085860813,208.25374472878948,47523000
2025-09-03,230.45388793945312,231.1033010071871,224.5891229524102,226.00786746880672,103336100
2025-09-04,232.09242248535156,232.16235200669,225.90795135774627,229.4447813472723,51684200
2025-09-05,234.79000854492188,235.54932393536487,231.69277254690593,231.9925075217388,46588900
2025-09-08,234.0399932861328,238.1300048828125,233.6699981689453,235.47000122070312,32474700
2025-09-09,239.6300048828125,240.47000122070312,233.22999572753906,234.1699981689453,38061000
2025-09-10,239.1699981689453,241.66000366210938,237.85000610351562,238.89999389648438,35141100
2025-09-11,240.3699951171875,242.25,236.25,239.8800048828125,30599300
2025-09-12,240.8000030517578,242.0800018310547,238.0,240.3699951171875,26771600
2025-09-15,251.61000061035156,252.41000366210938,244.66000366210938,244.66000366210938,58383800
2025-09-16,251.16000366210938,253.0399932861328,249.47000122070312,252.0800018310547,34109700
2025-09-17,249.52999877929688,251.60000610351562,246.27999877929688,251.22000122070312,34108000
2025-09-18,252.02999877929688,253.99000549316406,249.8000030517578,251.67999267578125,31239500
2025-09-19,254.72000122070312,256.0,251.80999755859375,253.25,55571400
2025-09-22,252.52999877929688,255.77999877929688,250.3000030517578,254.42999267578125,32290500
2025-09-23,251.66000366210938,254.36000061035156,250.47999572753906,253.0399932861328,26628000
2025-09-24,247.13999938964844,252.35000610351562,246.44000244140625,251.66000366210938,28201000
2025-09-25,245.7899932861328,246.49000549316406,240.74000549316406,244.39999389648438,31020400
2025-09-26,246.5399932861328,249.4199981689453,245.97000122070312,247.07000732421875,18503200
2025-09-29,244.0500030517578,251.14999389648438,242.77000427246094,247.85000610351562,32505800
2025-09-30,243.10000610351562,243.2899932861328,239.25,242.80999755859375,34724300
2025-10-01,244.89999389648438,246.3000030517578,238.61000061035156,240.75,31658200
2025-10-02,245.69000244140625,246.80999755859375,242.3000030517578,245.14999389648438,25483300
2025-10-03,245.35000610351562,246.3000030517578,241.66000366210938,244.49000549316406,30232900
